Date,Account,Category,Subcategory,Note / Description,Amount (INR),Type
2024-01-01,HDFC Savings,Salary,,Monthly salary credit,95000,Income
2024-01-05,HDFC Savings,Rent,,House rent January,22000,Expense
2024-01-07,HDFC Savings,Groceries,Vegetables,BigBasket order,1800,Expense
2024-01-08,HDFC Savings,Utilities,Electricity,BESCOM bill Jan,1200,Expense
2024-01-10,HDFC Savings,Food Delivery,Lunch,Swiggy order,450,Expense
2024-01-11,HDFC Savings,Groceries,Dairy,Milk and curd,620,Expense
2024-01-13,HDFC Savings,Transport,Auto,Auto to office,180,Expense
2024-01-14,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-01-15,HDFC Savings,Dining Out,Dinner,Weekend dinner with friends,1850,Expense
2024-01-17,HDFC Savings,Medical,Medicine,Pharmacy bills,540,Expense
2024-01-18,HDFC Savings,Shopping,Clothing,Winter jacket,3200,Expense
2024-01-20,HDFC Savings,Groceries,Vegetables,Zepto groceries,950,Expense
2024-01-22,HDFC Savings,Food Delivery,Dinner,Zomato order,680,Expense
2024-01-24,HDFC Savings,Investment,,Mutual Fund SIP,15000,Investment
2024-01-24,HDFC Savings,Investment,,PPF contribution,5000,Investment
2024-01-25,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-01-26,HDFC Savings,Transport,Cab,Uber to airport,890,Expense
2024-01-28,HDFC Savings,Dining Out,Brunch,Cafe brunch,920,Expense
2024-01-30,HDFC Savings,Groceries,Staples,Monthly provision store,2800,Expense
2024-02-01,HDFC Savings,Salary,,Monthly salary credit,95000,Income
2024-02-03,HDFC Savings,Rent,,House rent February,22000,Expense
2024-02-05,HDFC Savings,Groceries,Vegetables,BigBasket order,1650,Expense
2024-02-06,HDFC Savings,Utilities,Electricity,BESCOM bill Feb,980,Expense
2024-02-08,HDFC Savings,Food Delivery,Lunch,Swiggy order,520,Expense
2024-02-10,HDFC Savings,Medical,Consultation,Doctor visit,500,Expense
2024-02-12,HDFC Savings,Groceries,Dairy,Milk and curd,590,Expense
2024-02-13,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-02-15,HDFC Savings,Dining Out,Valentine dinner,Valentine dinner,3400,Expense
2024-02-16,HDFC Savings,Shopping,Gifts,Valentine gift,2100,Expense
2024-02-18,HDFC Savings,Transport,Monthly pass,Metro monthly pass,800,Expense
2024-02-20,HDFC Savings,Groceries,Vegetables,Zepto groceries,1100,Expense
2024-02-22,HDFC Savings,Food Delivery,Dinner,Zomato order,750,Expense
2024-02-24,HDFC Savings,Investment,,Mutual Fund SIP,15000,Investment
2024-02-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-02-28,HDFC Savings,Groceries,Staples,Monthly provision store,2600,Expense
2024-03-01,HDFC Savings,Salary,,Monthly salary credit,95000,Income
2024-03-04,HDFC Savings,Rent,,House rent March,22000,Expense
2024-03-06,HDFC Savings,Groceries,Vegetables,BigBasket order,1950,Expense
2024-03-07,HDFC Savings,Utilities,Electricity,BESCOM bill Mar,1100,Expense
2024-03-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,480,Expense
2024-03-10,HDFC Savings,Travel,Flight,Holi trip to Delhi,8500,Expense
2024-03-11,HDFC Savings,Travel,Hotel,Hotel in Delhi,4200,Expense
2024-03-12,HDFC Savings,Dining Out,Dinner,Restaurant in Delhi,2200,Expense
