date,account,category,subcategory,description,amount,type
2024-01-05,HDFC Savings,Salary,Monthly Salary,January Salary,95000,income
2024-01-08,HDFC Savings,Food,Groceries,BigBasket Order,3200,expense
2024-01-10,HDFC Savings,Transport,Fuel,Petrol Fill,2500,expense
2024-01-12,HDFC Savings,Utilities,Electricity,MSEB Bill,1800,expense
2024-01-15,HDFC Savings,Entertainment,OTT,Netflix + Prime,999,expense
2024-01-18,HDFC Savings,Food,Dining Out,Restaurant Dinner,2200,expense
2024-01-20,HDFC Savings,Investment,Mutual Fund,SIP - HDFC Flexi Cap,10000,investment
2024-01-22,HDFC Savings,Investment,PPF,PPF Contribution,5000,investment
2024-01-25,HDFC Savings,Shopping,Clothing,Myntra Order,3500,expense
2024-01-28,HDFC Savings,Health,Pharmacy,Medicines,800,expense
2024-01-30,HDFC Savings,Utilities,Internet,Jio Broadband,999,expense
2024-01-31,HDFC Savings,Food,Groceries,DMart Weekly,2800,expense
2024-02-05,HDFC Savings,Salary,Monthly Salary,February Salary,95000,income
2024-02-07,HDFC Savings,Food,Groceries,BigBasket Order,2900,expense
2024-02-09,HDFC Savings,Transport,Cab,Uber Rides,1800,expense
2024-02-12,HDFC Savings,Utilities,Electricity,MSEB Bill,1600,expense
2024-02-14,HDFC Savings,Entertainment,Movies,Valentine Movie,1500,expense
2024-02-15,HDFC Savings,Health,Doctor,GP Consultation,500,expense
2024-02-18,HDFC Savings,Food,Dining Out,Date Night Dinner,3500,expense
2024-02-20,HDFC Savings,Investment,Mutual Fund,SIP - HDFC Flexi Cap,10000,investment
2024-02-22,HDFC Savings,Investment,Stocks,NIFTY ETF,8000,investment
2024-02-25,HDFC Savings,Shopping,Electronics,Headphones,5500,expense
2024-02-27,HDFC Savings,Utilities,Internet,Jio Broadband,999,expense
2024-02-28,HDFC Savings,Food,Groceries,DMart Weekly,3100,expense
2024-03-05,HDFC Savings,Salary,Monthly Salary,March Salary,95000,income
2024-03-06,HDFC Savings,Food,Groceries,BigBasket Order,3400,expense
2024-03-10,HDFC Savings,Transport,Fuel,Petrol Fill,2500,expense
2024-03-12,HDFC Savings,Utilities,Electricity,MSEB Bill,2200,expense
2024-03-15,HDFC Savings,Entertainment,OTT,Netflix + Prime,999,expense
2024-03-18,HDFC Savings,Food,Dining Out,Friends Lunch,1800,expense
2024-03-20,HDFC Savings,Investment,Mutual Fund,SIP - HDFC Flexi Cap,10000,investment
2024-03-22,HDFC Savings,Investment,PPF,PPF Contribution,5000,investment
2024-03-25,HDFC Savings,Shopping,Books,Amazon Books,1200,expense
2024-03-28,HDFC Savings,Health,Gym,Gym Membership,2000,expense
2024-03-30,HDFC Savings,Utilities,Internet,Jio Broadband,999,expense
2024-03-31,HDFC Savings,Food,Groceries,DMart Weekly,2600,expense
2024-04-05,HDFC Savings,Salary,Monthly Salary,April Salary,95000,income
2024-04-07,HDFC Savings,Food,Groceries,BigBasket Order,3100,expense
2024-04-09,HDFC Savings,Transport,Cab,Uber Rides,2200,expense
2024-04-10,HDFC Savings,Tax,Income Tax,Advance Tax Q1,12000,expense
2024-04-12,HDFC Savings,Utilities,Electricity,MSEB Bill,1700,expense
2024-04-14,HDFC Savings,Entertainment,Events,Concert Tickets,4500,expense
2024-04-18,HDFC Savings,Food,Dining Out,Birthday Dinner,5500,expense
2024-04-20,HDFC Savings,Investment,Mutual Fund,SIP - HDFC Flexi Cap,10000,investment
2024-04-22,HDFC Savings,Investment,Stocks,NIFTY ETF,5000,investment
2024-04-25,HDFC Savings,Shopping,Clothing,Seasonal Shopping,6800,expense
2024-04-28,HDFC Savings,Utilities,Internet,Jio Broadband,999,expense
2024-04-30,HDFC Savings,Food,Groceries,DMart Weekly,2900,expense
2024-05-05,HDFC Savings,Salary,Monthly Salary,May Salary,95000,income
2024-05-07,HDFC Savings,Food,Groceries,BigBasket Order,2800,expense
2024-05-09,HDFC Savings,Transport,Fuel,Petrol Fill,2500,expense
2024-05-12,HDFC Savings,Utilities,Electricity,MSEB Bill,1900,expense
2024-05-15,HDFC Savings,Entertainment,OTT,Netflix + Prime,999,expense
2024-05-18,HDFC Savings,Food,Dining Out,Team Lunch,2800,expense
2024-05-20,HDFC Savings,Investment,Mutual Fund,SIP - HDFC Flexi Cap,10000,investment
2024-05-22,HDFC Savings,Investment,PPF,PPF Contribution,5000,investment
2024-05-24,HDFC Savings,Travel,Flights,Goa Trip Tickets,12000,expense
2024-05-25,HDFC Savings,Travel,Hotel,Goa Hotel 3N,9500,expense
2024-05-28,HDFC Savings,Utilities,Internet,Jio Broadband,999,expense
2024-05-30,HDFC Savings,Food,Groceries,DMart Weekly,2700,expense
2024-06-05,HDFC Savings,Salary,Monthly Salary,June Salary,95000,income
2024-06-07,HDFC Savings,Food,Groceries,BigBasket Order,3300,expense
2024-06-09,HDFC Savings,Transport,Cab,Uber Rides,1900,expense
2024-06-12,HDFC Savings,Utilities,Electricity,MSEB Bill,2800,expense
2024-06-15,HDFC Savings,Entertainment,OTT,Netflix + Prime,999,expense
2024-06-18,HDFC Savings,Food,Dining Out,Anniversary Dinner,7500,expense
2024-06-20,HDFC Savings,Investment,Mutual Fund,SIP - HDFC Flexi Cap,10000,investment
2024-06-22,HDFC Savings,Investment,Stocks,NIFTY ETF,10000,investment
2024-06-25,HDFC Savings,Shopping,Electronics,Laptop Accessory,3200,expense
2024-06-27,HDFC Savings,Health,Doctor,Specialist Visit,1200,expense
2024-06-28,HDFC Savings,Utilities,Internet,Jio Broadband,999,expense
2024-06-30,HDFC Savings,Food,Groceries,DMart Weekly,3000,expense
