date,account,category,subcategory,description,amount,type
2024-07-05,HDFC Savings,Salary,Monthly Salary,July Salary,95000,income
2024-07-07,HDFC Savings,Food,Groceries,BigBasket Order,3600,expense
2024-07-09,HDFC Savings,Transport,Cab,Uber Rides,2800,expense
2024-07-12,HDFC Savings,Utilities,Electricity,MSEB Bill,3900,expense
2024-07-14,HDFC Savings,Entertainment,OTT,Netflix + Prime,999,expense
2024-07-15,HDFC Savings,Food,Dining Out,Weekend Brunch,3200,expense
2024-07-18,HDFC Savings,Food,Dining Out,Team Celebration,4500,expense
2024-07-20,HDFC Savings,Investment,Mutual Fund,SIP - HDFC Flexi Cap,10000,investment
2024-07-22,HDFC Savings,Investment,PPF,PPF Contribution,5000,investment
2024-07-24,HDFC Savings,Shopping,Electronics,Smart Watch,18000,expense
2024-07-26,HDFC Savings,Food,Groceries,DMart Weekly,3100,expense
2024-07-28,HDFC Savings,Utilities,Internet,Jio Broadband,999,expense
2024-07-30,HDFC Savings,Health,Gym,Gym Membership,2000,expense
2024-07-31,HDFC Savings,Entertainment,Events,Live Show,5500,expense
